"Title","Genres","Release Date","Release Country","Movie Rating","Review Rating","Movie Run Time","Plot","Cast","Language","Filming Locations","Budget"
"Sumpahan kum kum (2012)"," Horror","26-Jan-12","Malaysia",,8.9,"88 min","Directed by Ismail Bob Hasim. With Fezrul, Puteri Mardiana, Abdul Razak Ahmad, Echa.","Fezrul|Puteri Mardiana|Abdul Razak Ahmad|Echa|Maimon Mutalib|Kazaar Saisi","Malay",,
"Five Nights at Freddy's: The Fan Film (2016)"," Animation| Drama| Horror","13-Sep-16","USA","NOT RATED",7,,"With Marco Goulart, Cory Leitzel, Shyera Schroepfer, Patrick Delva. A chain of family pizza restaurants faces a number of accusations and mystery from visitors being attacked to fires. Mike, Jeremy, and Zeke find themselves tangled in among the triad of menacing locations, leaving them to figure out the truth behind what has really been taking place.","Marco Goulart|Cory Leitzel|Shyera Schroepfer|Patrick Delva|Justin Cabanting|Dylan Ingram|Thomas Gnyzio|Cameron Skeith|Jun Lai|Nadia Poppen|Lucy Hernandez","English","Portugal",
"Accidental Exorcist (2016)"," Horror","24-Jun-16","USA","TV-MA",4.1,,"Directed by Daniel Falicki. With Daniel Falicki, Faye Sills, Sherryl Despres, David Higbee. Fate has dealt Richard Vanuck a very strange hand; he's a natural born exorcist. In fact, he's the best there's ever been, and with possessions on the rise across the city he's booked solid. Eventually he comes to realize that performing exorcisms is the only thing he's truly good at, even though his daily battles with Satanic forces are wearing him down. ""Riveting, a master piece."" - Awesome Mag...","Daniel Falicki|Faye Sills|Sherryl Despres|David Higbee|Michael McCallum|Joel Potrykus|Kara Joy Reed|James Harris|Julianne Howe-Bouwens|Lajanae Smith|Michael Cunningham|Mary Brown|Heath Scarbrough|Shelley Irwin|Patrick Hendren","English","Grand Rapids, Michigan, USA",
"Adi Kapyare Kootamani (2015)"," Comedy| Horror","25-Dec-15","India",,6.2,"131 min","Directed by John Varghese. With Dhyan Sreenivasan, Mukesh, Namitha Pramod, Aju Varghese. The story revolves around a bunch of college students when a young woman gets stuck inside the boys hostel with no way out.","Dhyan Sreenivasan|Mukesh|Namitha Pramod|Aju Varghese|Neeraj Madhav|Vineeth Mohan|Devi Ajith|Bijukuttan|Disney James|Pradeep Kottayam|Krishnan|Bhagath Baby Manuel|Roshan Mathew|Valsala Menon|Tharikida Sabu","Malayalam",,
"The Black Water Vampire (2014)"," Horror| Mystery| Thriller","21-Jan-14","USA","UNRATED",4.2,"82 min","Directed by Evan Tramel. With Danielle Lozeau, Andrea Monier, Anthony Fanelli, Robin Steffen. A documentary film crew investigates a series of brutal killings known as the Black Water murders. As they delve deeper into the story they stumble upon a horrifying secret, one that they may not survive.","Danielle Lozeau|Andrea Monier|Anthony Fanelli|Robin Steffen|Bill Oberst Jr.|Emma Anderson|Myles Cranford|Fisher David|Brandon deSpain|William Ferguson|Justin Ferrari|David George Fischer|Bob Greenan|Brad Harris|Lynda Lacayo","English","Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",
"Blood-C: The Last Dark (2012)"," Animation| Action| Adventure| Fantasy| Horror| Mystery","2-Jun-12","Japan","TV-MA",6.1,"107 min","Directed by Naoyoshi Shiotani. With Atsushi Abe, Masumi Asano, Tia Lynn Ballard, Colleen Clinkenbeard. Tokyo, Winter. Despite the use of the Youth Ordinance Bill to enforce curfews for minors and regulate the use of the Internet, young people continue to fight for their own freedom through underground methods. One such group calls themselves Surat. They have decided to take on Fumito Nanahara, a man who has great influence on the political world, and basically controls Tokyo with an iron fist. ...","Atsushi Abe|Masumi Asano|Tia Lynn Ballard|Colleen Clinkenbeard|Justin Cook|Keiji Fujiwara|Misato Fukuen|Todd Haberkorn|Martha Harms|Robert McCollum|Mike McFarland|Miho Miyagawa|Nana Mizuki|Kenji Nojima|Jad Saxton","Japanese",,
"The Lurking Man (2017)"," Drama| Horror| Mystery| Thriller","18-Apr-17","USA",,8.4,"90 min","Directed by Jenn Page. With Maritza Brikisak, Daniel Lench, Frank Krueger, Dorian Gregory. 'Cailean' is an abusive alcoholic mother. When she dies she is offered a chance at redemption if she accepts Death's offer.","Maritza Brikisak|Daniel Lench|Frank Krueger|Dorian Gregory|Jentzen Ramirez|Chuck Saale|Joel Bryant|Carmen Pérez Røsnes|Tessa Espinola|Chloe Littlejohn|Kenny Lattimore|Jacqueline Hadden|Sarah J. Eagen|Leah Ann Cevoli|Paul Uhler","English",,
"Keeper of Darkness (2015)"," Horror| Thriller","26-Nov-15","Hong Kong",,5.9,"105 min","Directed by Nick Cheung. With Nick Cheung, Amber Kuo, Kai-Chung Cheung, Sisley Choi. Nick Cheung plays a streetwise exorcist who becomes an overnight sensation when his extraordinary exorcisms are recorded and go viral on the internet. However, this attracts not only the attention from the media but also creatures from the underworld.","Nick Cheung|Amber Kuo|Kai-Chung Cheung|Sisley Choi|Angie Cheung|Jacky Cheung|Philip Keung|Elena Kong|Kar Yan Lam|Wai-Keung Lau|Lawrence Ng|Ka-Man Tong|Olivia Yan|Siu-Chung Yip|Shawn Yue","Mandarin|Cantonese",,
"Truth (2014)"," Horror| Sci-Fi| Thriller",2014,"USA","NOT RATED",4.5,"96 min","Directed by Michael Cramer, Troy Scoughton Jr.. With William McNamara, Katyia Shurkin, Wayno Sanchez, Dyami Thomas. In response to the days following 9/11, a covert government agency funds a black book project to develop a live virus, Nano-Technology based truth serum. Nanotrack Industries successfully develops Veritas PVH 13 and although it produces psychological anomalies in some subjects, this chemical crowbar permanently removes a subjects ability to deceive. Large scale testing on enemy detainees in a ...","William McNamara|Katyia Shurkin|Wayno Sanchez|Dyami Thomas|Neko Sparks|Robert Dean|Johnny Tabor|Sabrina Gomez|Marcelle Bowman|Bob Singer|Jack Lutz|Eric Young|Kevin Friesen|Jon Tabor|Kenneth McGlothin","English","Silver City, New Mexico, USA",
"Skull Forest (2012)"," Action| Adventure| Horror| Thriller","9-Jun-12","USA",,2.9,"74 min","Directed by Len Kabasinski. With Brian Anthony, Brian Arrington, Luc Bernier, Sara Brooks. Four female friends embark on a weekend camping expedition into the woods. Things go horribly awry when the quartet runs afoul of a group of wicked rich folks who enjoy hunting humans for sport. Will any of these ladies make it out of the forest alive?","Brian Anthony|Brian Arrington|Luc Bernier|Sara Brooks|Steve Brown|Bud Crandall|Bob Dobiesz|James Scott Charles Howells|Len Kabasinski|Mark Kosobucki|Lisa Neeld|K.K. Ryder|Jeremiah Salhoff|Melissa Scott|William Sjolinder","English","Erie, Pennsylvania, USA",
